Num_acc,Date,Conditions Lumineuses,Conditions Atmosphériques,Etat Surface,Catégorie Route,Vitesse Maximale Autorisée,Type Collision,Nombre Véhicules Impliqués,Nombre Usagers Impliqués,Gravité
109,2022-01-06 01:24:23,Nuit,Normal,Sec,70.0,70.0,,2.0,6.0,0.0
110,2022-01-31 13:51:37,Jour,Normal,Sec,Voie Communale,40.0,,2.0,,0.0
113,2022-01-26 11:39:13,Jour,Normal,Sec,Autoroute,130.0,Autre,1.0,1.0,0.0
115,2022-01-21 17:37:08,Nuit,Normal,Sec,80.0,80.0,Par le coté,2.0,,
116,2022-01-29 01:29:17,Nuit,Normal,Sec,Voie Communale,50.0,Par l'arrière,2.0,,
117,2022-01-28 16:02:57,Jour,Normal,Sec,Voie Communale,30.0,Autre,1.0,1.0,1.0
120,2022-01-13 20:26:23,Nuit,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,,1.0
125,2022-01-15 04:25:55,Nuit,Normal,Sec,Autoroute,130.0,,2.0,,
129,2022-01-15 06:15:36,Nuit,Normal,Sec,Voie Communale,40.0,,,2.0,0.0
130,2022-01-28 04:20:47,Nuit,Normal,Sec,80.0,80.0,Par l'arrière,2.0,,
131,2022-01-02 08:12:17,Jour,Normal,Sec,Autoroute,130.0,Par le coté,2.0,,
133,2022-01-14 11:14:56,Jour,Normal,Sec,Voie Communale,40.0,Autre,,9.0,
134,2022-01-14 18:31:27,Nuit,Normal,Sec,Voie Communale,50.0,Par le coté,2.0,4.0,0.0
135,2022-01-28 10:50:45,Jour,Normal,Sec,Autoroute,130.0,Par le coté,2.0,3.0,1.0
138,2022-01-20 05:57:30,Nuit,Normal,Sec,Voie Communale,30.0,,2.0,2.0,1.0
139,2022-01-29 00:13:22,Nuit,Normal,Sec,Autoroute,130.0,Autre,,1.0,1.0
140,2022-01-11 19:14:25,Nuit,Normal,Sec,Voie Communale,50.0,Par le coté,2.0,2.0,
147,2022-01-14 16:58:40,Jour,Normal,Sec,Autoroute,130.0,Frontale,2.0,2.0,
148,2022-01-06 14:15:55,Jour,Normal,Sec,Voie Communale,40.0,Frontale,2.0,2.0,1.0
153,2022-01-24 11:51:38,Jour,Normal,Sec,Route Départementale,80.0,,2.0,6.0,0.0
156,2022-01-01 06:00:51,Nuit,Normal,Sec,Voie Communale,40.0,Par l'arrière,2.0,5.0,
157,2022-01-14 21:30:26,Nuit,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,5.0,0.0
158,2022-01-28 17:32:39,Nuit,Normal,Sec,80.0,80.0,,2.0,2.0,
159,2022-01-10 10:05:07,Jour,Normal,Sec,Voie Communale,40.0,Par l'arrière,2.0,2.0,0.0
163,2022-01-01 01:17:21,Nuit,Normal,Sec,Voie Communale,50.0,Par l'arrière,,,0.0
164,2022-01-31 13:00:23,Jour,Normal,Sec,90.0,90.0,,1.0,1.0,0.0
165,2022-01-12 14:02:16,Jour,Normal,Sec,Route Départementale,80.0,Frontale,2.0,2.0,
166,2022-01-10 16:09:44,Jour,Normal,Sec,Route Départementale,70.0,Par le coté,2.0,,1.0
167,2022-01-29 03:30:28,Nuit,Normal,Sec,Route Départementale,70.0,Par l'arrière,2.0,,0.0
170,2022-01-28 22:59:41,Nuit,Normal,Sec,110.0,110.0,,,2.0,0.0
171,2022-01-16 14:14:19,Jour,Normal,Sec,Route Départementale,75.0,Par le coté,2.0,,0.0
172,2022-01-28 09:24:44,Jour,Normal,Sec,Autoroute,130.0,Autre,1.0,1.0,0.0
173,2022-01-23 21:14:32,Nuit,Normal,Sec,Voie Communale,30.0,,2.0,8.0,0.0
175,2022-01-23 06:59:43,Nuit,Normal,Sec,70.0,70.0,,1.0,,1.0
177,2022-01-18 03:13:07,Nuit,Normal,Sec,Voie Communale,50.0,,,3.0,0.0
178,2022-01-20 13:51:46,Jour,Normal,Sec,Route Départementale,75.0,,2.0,4.0,0.0
179,2022-01-02 13:18:54,Jour,Normal,Sec,Voie Communale,30.0,Par le coté,,2.0,0.0
180,2022-01-24 15:48:48,Jour,Normal,Sec,Autoroute,130.0,,1.0,1.0,0.0
182,2022-01-27 06:26:29,Nuit,Normal,Sec,Voie Communale,40.0,Par le coté,,,
183,2022-01-14 08:06:49,Jour,Normal,Sec,Voie Communale,40.0,Autre,,1.0,0.0
184,2022-01-28 03:34:35,Nuit,Normal,Sec,Voie Communale,50.0,,,2.0,1.0
190,2022-01-12 09:51:34,Jour,Normal,Sec,Route Départementale,80.0,,2.0,7.0,1.0
193,2022-01-27 10:18:55,Jour,Normal,Sec,Voie Communale,50.0,Autre,1.0,,
195,2022-01-01 02:04:59,Nuit,Normal,Sec,Route Nationale,100.0,,2.0,,0.0
196,2022-01-12 11:05:52,Jour,Normal,Sec,Voie Communale,30.0,Autre,1.0,,
197,2022-01-28 05:20:30,Nuit,Normal,Sec,Autoroute,130.0,Autre,1.0,1.0,0.0
198,2022-01-01 16:05:14,Jour,Normal,Sec,Route Départementale,75.0,,,3.0,1.0
199,2022-01-23 00:24:07,Nuit,Normal,Sec,Voie Communale,30.0,,2.0,4.0,
203,2022-01-02 02:48:57,Nuit,Normal,Sec,Route Nationale,110.0,Autre,1.0,1.0,0.0
204,2022-01-24 01:26:42,Nuit,Normal,Sec,50.0,50.0,Autre,1.0,1.0,0.0
207,2022-01-18 03:12:22,Nuit,Normal,Sec,Voie Communale,50.0,Autre,1.0,,0.0
208,2022-01-11 08:20:59,Nuit,Normal,Sec,Autoroute,130.0,,,5.0,
209,2022-01-17 02:56:48,Nuit,Normal,Sec,50.0,50.0,Par le coté,2.0,,
210,2022-01-29 19:32:45,Nuit,Normal,Sec,Voie Communale,30.0,,1.0,,
212,2022-01-21 12:18:59,Jour,Normal,Sec,Route Départementale,80.0,,,3.0,0.0
214,2022-01-02 11:59:50,Jour,Normal,Sec,Route Départementale,70.0,,2.0,5.0,1.0
215,2022-01-26 03:29:11,Nuit,Normal,Sec,Autoroute,130.0,,2.0,,0.0
216,2022-01-25 11:14:49,Jour,Normal,Sec,Voie Communale,50.0,Par le coté,,3.0,0.0
217,2022-01-30 21:31:29,Nuit,Normal,Sec,70.0,70.0,Autre,,1.0,0.0
218,2022-01-25 12:36:33,Jour,Normal,Sec,Route Départementale,75.0,Par l'arrière,2.0,2.0,
219,2022-01-15 00:09:52,Nuit,Normal,Sec,Voie Communale,40.0,Autre,1.0,3.0,1.0
220,2022-01-02 21:43:51,Nuit,Normal,Sec,Voie Communale,40.0,Par le coté,2.0,,
221,2022-01-17 17:46:59,Nuit,Normal,Sec,Autoroute,130.0,Autre,,,0.0
223,2022-01-02 03:50:35,Nuit,Normal,Sec,Voie Communale,30.0,Autre,1.0,,0.0
230,2022-01-23 03:08:16,Nuit,Normal,Sec,70.0,70.0,,2.0,2.0,0.0
233,2022-01-23 15:25:56,Jour,Normal,Sec,Route Départementale,80.0,Par le coté,2.0,6.0,1.0
234,2022-01-25 00:48:45,Nuit,Normal,Sec,Route Départementale,70.0,,1.0,,
235,2022-01-21 07:48:21,Nuit,Normal,Sec,50.0,50.0,,2.0,2.0,
236,2022-01-16 16:16:15,Jour,Normal,Sec,Route Départementale,75.0,Par le coté,2.0,3.0,0.0
239,2022-01-18 23:24:25,Nuit,Normal,Sec,Voie Communale,50.0,Autre,1.0,,
240,2022-01-01 06:35:01,Nuit,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,2.0,0.0
241,2022-01-11 14:14:20,Jour,Normal,Sec,Voie Communale,30.0,Autre,1.0,1.0,0.0
242,2022-01-12 01:00:57,Nuit,Normal,Sec,70.0,70.0,Autre,3.0,,
243,2022-01-28 05:33:26,Nuit,Normal,Sec,Voie Communale,50.0,,2.0,2.0,1.0
245,2022-01-16 13:21:29,Jour,Normal,Sec,Autoroute,130.0,,2.0,5.0,
246,2022-01-05 19:58:59,Nuit,Normal,Sec,Autoroute,130.0,Par le coté,2.0,6.0,1.0
247,2022-01-22 21:42:43,Nuit,Normal,Sec,Route Départementale,80.0,Par l'arrière,2.0,2.0,0.0
249,2022-01-27 19:54:07,Nuit,Normal,Sec,Voie Communale,40.0,Par le coté,2.0,4.0,0.0
251,2022-01-20 07:07:25,Nuit,Normal,Sec,Route Départementale,75.0,Autre,,1.0,
252,2022-01-23 03:35:38,Nuit,Normal,Sec,70.0,70.0,Par le coté,2.0,4.0,0.0
254,2022-01-30 10:24:00,Jour,Normal,Sec,Route Départementale,70.0,Autre,1.0,5.0,0.0
255,2022-01-31 11:45:34,Jour,Normal,Sec,Voie Communale,40.0,Autre,1.0,,
256,2022-01-25 07:34:01,Nuit,Normal,Sec,Voie Communale,30.0,Autre,3.0,,
257,2022-01-27 03:05:51,Nuit,Normal,Sec,Route Nationale,110.0,Par l'arrière,2.0,3.0,1.0
258,2022-01-06 10:38:30,Jour,Normal,Sec,Route Départementale,80.0,Autre,,1.0,0.0
259,2022-01-26 01:29:32,Nuit,Normal,Sec,Route Départementale,80.0,Par le coté,,3.0,0.0
260,2022-01-20 02:30:05,Nuit,Normal,Sec,50.0,50.0,,2.0,2.0,
261,2022-01-25 01:45:22,Nuit,Normal,Sec,90.0,90.0,,,1.0,1.0
263,2022-01-12 13:08:27,Jour,Normal,Sec,50.0,50.0,,1.0,1.0,0.0
264,2022-01-15 20:32:21,Nuit,Normal,Sec,Route Départementale,75.0,Autre,1.0,,
265,2022-01-23 08:54:37,Jour,Normal,Sec,Voie Communale,50.0,Frontale,,3.0,0.0
266,2022-01-15 13:59:05,Jour,Normal,Sec,Route Départementale,80.0,Autre,1.0,3.0,0.0
267,2022-01-27 09:18:18,Jour,Normal,Sec,Route Départementale,80.0,,2.0,4.0,0.0
269,2022-01-06 15:56:06,Jour,Normal,Sec,70.0,70.0,,,2.0,
273,2022-01-13 14:57:27,Jour,Normal,Sec,Voie Communale,40.0,Par le coté,2.0,3.0,0.0
277,2022-01-24 03:55:47,Nuit,Normal,Sec,50.0,50.0,Par le coté,2.0,,0.0
279,2022-01-14 01:15:14,Nuit,Normal,Sec,Voie Communale,50.0,,1.0,1.0,0.0
282,2022-01-26 17:19:07,Jour,Normal,Sec,Autoroute,130.0,Par le coté,2.0,,0.0
283,2022-01-11 19:10:18,Nuit,Normal,Sec,Route Départementale,75.0,Autre,1.0,1.0,0.0
284,2022-01-31 20:40:23,Nuit,Normal,Sec,Route Départementale,75.0,Par l'arrière,2.0,5.0,0.0
286,2022-01-22 06:37:58,Nuit,Normal,Sec,Route Départementale,75.0,Autre,1.0,1.0,0.0
288,2022-01-11 23:26:35,Nuit,Normal,Sec,Route Départementale,75.0,Par le coté,2.0,4.0,1.0
289,2022-01-27 14:46:08,Jour,Normal,Sec,Route Nationale,110.0,Par le coté,2.0,,1.0
292,2022-01-29 01:20:53,Nuit,Normal,Sec,Route Départementale,70.0,Par l'arrière,,4.0,
294,2022-01-15 07:18:22,Nuit,Normal,Sec,Route Départementale,75.0,Par le coté,2.0,2.0,
295,2022-01-16 01:19:47,Nuit,Normal,Sec,Route Départementale,80.0,Par le coté,,3.0,0.0
298,2022-01-05 06:18:27,Nuit,Normal,Sec,Route Départementale,75.0,Par le coté,,2.0,1.0
299,2022-01-26 18:10:56,Nuit,Normal,Sec,Voie Communale,40.0,,,4.0,
302,2022-01-13 04:42:07,Nuit,Normal,Sec,Route Nationale,100.0,,2.0,5.0,1.0
306,2022-01-06 12:06:52,Jour,Normal,Sec,Route Nationale,100.0,Par le coté,2.0,,0.0
307,2022-01-11 07:32:58,Nuit,Normal,Sec,Autoroute,130.0,Frontale,,6.0,
308,2022-01-22 02:15:58,Nuit,Normal,Sec,Route Départementale,80.0,,2.0,7.0,
309,2022-01-12 02:18:52,Nuit,Normal,Sec,Route Départementale,70.0,Par l'arrière,2.0,,1.0
310,2022-01-14 06:00:48,Nuit,Normal,Sec,Route Départementale,70.0,Par l'arrière,2.0,,0.0
311,2022-01-17 23:42:04,Nuit,Normal,Sec,Voie Communale,30.0,,,4.0,1.0
313,2022-01-14 18:53:33,Nuit,Normal,Sec,90.0,90.0,Autre,,1.0,
321,2022-01-23 23:00:42,Nuit,Normal,Sec,Route Départementale,75.0,Par le coté,2.0,,0.0
323,2022-01-29 07:53:27,Nuit,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,2.0,0.0
325,2022-01-31 18:23:57,Nuit,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,5.0,1.0
326,2022-01-05 16:50:45,Jour,Normal,Sec,80.0,80.0,,,2.0,0.0
327,2022-01-02 15:17:40,Jour,Normal,Sec,Voie Communale,40.0,,2.0,,0.0
330,2022-01-31 17:32:57,Jour,Normal,Sec,Voie Communale,30.0,,2.0,,0.0
331,2022-01-20 14:43:11,Jour,Normal,Sec,50.0,50.0,,,4.0,0.0
333,2022-01-13 08:33:48,Nuit,Normal,Sec,Voie Communale,30.0,Autre,1.0,,0.0
334,2022-01-21 11:07:57,Jour,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,,0.0
337,2022-01-11 08:48:50,Jour,Normal,Sec,80.0,80.0,Par le coté,,2.0,
339,2022-01-01 14:41:59,Jour,Normal,Sec,Voie Communale,30.0,Par l'arrière,,,0.0
340,2022-01-01 01:08:56,Nuit,Normal,Sec,Autoroute,130.0,,,1.0,0.0
342,2022-01-21 11:30:37,Jour,Normal,Sec,70.0,70.0,Par le coté,2.0,2.0,1.0
343,2022-01-02 17:51:43,Jour,Normal,Sec,Autoroute,130.0,,2.0,5.0,1.0
346,2022-01-12 13:43:53,Jour,Normal,Sec,Voie Communale,30.0,,2.0,,0.0
348,2022-01-29 05:14:15,Nuit,Normal,Sec,Voie Communale,40.0,Frontale,2.0,2.0,0.0
349,2022-01-17 11:03:52,Jour,Normal,Sec,50.0,50.0,,1.0,,
350,2022-01-21 17:52:15,Nuit,Normal,Sec,Route Départementale,70.0,,2.0,2.0,
352,2022-01-14 20:56:24,Nuit,Normal,Sec,Voie Communale,50.0,Par le coté,,2.0,
353,2022-01-26 02:22:25,Nuit,Normal,Sec,Autoroute,130.0,Par l'arrière,2.0,2.0,
355,2022-01-31 06:19:55,Nuit,Normal,Sec,Route Départementale,80.0,Par le coté,2.0,5.0,0.0
358,2022-01-02 19:12:58,Nuit,Normal,Sec,Route Départementale,80.0,,2.0,8.0,0.0
359,2022-01-30 16:22:29,Jour,Normal,Sec,80.0,80.0,Par le coté,2.0,4.0,1.0
361,2022-01-23 09:06:50,Jour,Normal,Sec,Voie Communale,40.0,Autre,1.0,1.0,0.0
362,2022-01-06 23:59:32,Nuit,Normal,Sec,80.0,80.0,Par le coté,,,
363,2022-01-10 20:11:04,Nuit,Normal,Sec,Route Départementale,75.0,Par l'arrière,2.0,6.0,
364,2022-01-06 02:38:54,Nuit,Normal,Sec,90.0,90.0,Par le coté,2.0,4.0,0.0
365,2022-01-20 22:43:20,Nuit,Normal,Sec,Voie Communale,30.0,Par le coté,2.0,,0.0
366,2022-01-02 15:56:30,Jour,Normal,Sec,80.0,80.0,Par l'arrière,2.0,3.0,
370,2022-01-28 03:29:08,Nuit,Normal,Sec,50.0,50.0,Par le coté,2.0,2.0,0.0
372,2022-01-24 13:12:53,Jour,Normal,Sec,Route Départementale,70.0,,,,0.0
374,2022-01-13 13:33:04,Jour,Normal,Sec,Route Départementale,80.0,Autre,1.0,,0.0
375,2022-01-29 12:47:31,Jour,Normal,Sec,Route Nationale,90.0,,1.0,3.0,0.0
378,2022-01-17 14:10:18,Jour,Normal,Sec,Route Départementale,70.0,Frontale,,2.0,0.0
382,2022-01-22 03:15:44,Nuit,Normal,Sec,Voie Communale,50.0,Par le coté,,,0.0
383,2022-01-14 04:51:00,Nuit,Normal,Sec,Route Départementale,70.0,Autre,1.0,1.0,1.0
384,2022-01-21 14:24:37,Jour,Normal,Sec,Route Départementale,70.0,,,,
385,2022-01-24 13:50:49,Jour,Normal,Sec,Voie Communale,50.0,Frontale,2.0,2.0,0.0
386,2022-01-30 20:44:44,Nuit,Normal,Sec,Route Départementale,75.0,Par le coté,2.0,4.0,1.0
387,2022-01-26 09:11:56,Jour,Normal,Sec,80.0,80.0,Par le coté,,2.0,
390,2022-01-17 12:21:48,Jour,Normal,Sec,Route Départementale,75.0,,,2.0,0.0
391,2022-01-22 13:30:56,Jour,Normal,Sec,Voie Communale,30.0,Frontale,2.0,,0.0
393,2022-01-15 18:09:22,Nuit,Normal,Sec,Route Nationale,100.0,Autre,1.0,1.0,
394,2022-01-29 20:22:01,Nuit,Normal,Sec,Route Départementale,70.0,Par l'arrière,,5.0,0.0
397,2022-01-28 13:37:02,Jour,Normal,Sec,Route Départementale,75.0,,,5.0,
399,2022-01-29 01:29:00,Nuit,Normal,Sec,50.0,50.0,Par le coté,,,0.0
400,2022-01-16 16:54:12,Jour,Normal,Sec,Voie Communale,40.0,,,5.0,0.0
402,2022-01-28 09:36:22,Jour,Normal,Sec,Autoroute,130.0,Autre,1.0,1.0,
405,2022-01-30 09:23:45,Jour,Normal,Sec,50.0,50.0,,2.0,4.0,
406,2022-01-13 21:39:47,Nuit,Normal,Sec,Autoroute,130.0,,,,
408,2022-01-05 00:05:00,Nuit,Normal,Sec,70.0,70.0,Par le coté,,6.0,0.0
412,2022-01-17 09:14:09,Jour,Normal,Sec,Voie Communale,30.0,Par le coté,,4.0,1.0
414,2022-01-26 17:45:59,Nuit,Normal,Sec,Route Départementale,70.0,Frontale,,2.0,1.0
416,2022-01-12 12:19:53,Jour,Normal,Sec,Voie Communale,30.0,Par l'arrière,,,0.0
418,2022-01-27 04:03:09,Nuit,Normal,Sec,Route Départementale,75.0,Autre,1.0,,0.0
420,2022-01-18 22:44:32,Nuit,Normal,Sec,Voie Communale,40.0,Par l'arrière,2.0,2.0,0.0
421,2022-01-15 06:28:30,Nuit,Normal,Sec,Voie Communale,30.0,,2.0,2.0,
423,2022-01-16 01:03:49,Nuit,Normal,Sec,Route Nationale,100.0,Par le coté,,,0.0
424,2022-01-17 08:06:44,Nuit,Normal,Sec,Route Départementale,70.0,Par l'arrière,2.0,6.0,
426,2022-01-21 22:00:02,Nuit,Normal,Sec,Route Départementale,75.0,,2.0,5.0,0.0
429,2022-01-22 01:16:04,Nuit,Normal,Sec,110.0,110.0,,2.0,3.0,
430,2022-01-25 01:47:50,Nuit,Normal,Sec,Voie Communale,40.0,,2.0,3.0,0.0
431,2022-01-21 07:10:47,Nuit,Normal,Sec,Route Départementale,70.0,Autre,,3.0,0.0
432,2022-01-22 10:56:34,Jour,Normal,Sec,Route Départementale,80.0,Autre,1.0,1.0,1.0
433,2022-01-30 07:59:55,Nuit,Normal,Sec,Route Départementale,70.0,Par le coté,2.0,,
434,2022-01-25 13:24:07,Jour,Normal,Sec,Voie Communale,30.0,Frontale,,,
439,2022-01-06 19:55:41,Nuit,Normal,Sec,50.0,50.0,Par le coté,2.0,6.0,0.0
440,2022-01-10 08:58:02,Jour,Normal,Sec,Route Départementale,80.0,,2.0,2.0,0.0
442,2022-01-17 15:24:59,Jour,Normal,Sec,Voie Communale,40.0,Par le coté,2.0,6.0,1.0
446,2022-01-01 12:37:56,Jour,Normal,Sec,Voie Communale,30.0,Par l'arrière,,7.0,0.0
447,2022-01-10 03:10:41,Nuit,Normal,Sec,Autoroute,130.0,Autre,3.0,7.0,
451,2022-01-23 04:08:53,Nuit,Normal,Sec,Route Départementale,80.0,Autre,1.0,3.0,
452,2022-01-18 10:26:34,Jour,Normal,Sec,Route Départementale,75.0,Par le coté,,2.0,
453,2022-01-02 19:03:49,Nuit,Normal,Sec,Voie Communale,50.0,Autre,3.0,4.0,1.0
454,2022-01-02 17:33:00,Nuit,Normal,Sec,Route Départementale,75.0,,,6.0,1.0
455,2022-01-24 13:59:48,Jour,Normal,Sec,80.0,80.0,Autre,,1.0,0.0
459,2022-01-22 07:19:12,Nuit,Normal,Sec,50.0,50.0,,,4.0,
460,2022-01-29 20:36:11,Nuit,Normal,Sec,Voie Communale,40.0,Par le coté,,3.0,0.0
461,2022-01-02 10:16:31,Jour,Normal,Sec,Route Départementale,75.0,Par l'arrière,,3.0,0.0
464,2022-01-18 12:42:34,Jour,Normal,Sec,Route Départementale,75.0,Par le coté,2.0,,0.0
467,2022-01-28 13:42:41,Jour,Normal,Sec,Route Départementale,75.0,Par le coté,,,
468,2022-01-28 04:36:54,Nuit,Normal,Sec,Route Départementale,80.0,Par le coté,,2.0,0.0
473,2022-01-24 19:41:45,Nuit,Normal,Sec,50.0,50.0,Par le coté,2.0,,1.0
474,2022-01-20 07:16:03,Nuit,Normal,Sec,Autoroute,130.0,Par le coté,2.0,2.0,1.0
475,2022-01-28 04:48:26,Nuit,Normal,Sec,50.0,50.0,,,2.0,0.0
477,2022-01-29 02:12:50,Nuit,Normal,Sec,Route Nationale,100.0,Par le coté,2.0,,0.0
478,2022-01-22 03:11:57,Nuit,Normal,Sec,Route Nationale,100.0,Par le coté,2.0,5.0,0.0
479,2022-01-18 16:20:05,Jour,Normal,Sec,Route Départementale,75.0,Par le coté,2.0,3.0,0.0
480,2022-01-20 09:58:36,Jour,Normal,Sec,Voie Communale,40.0,,2.0,4.0,1.0
481,2022-01-31 16:41:15,Jour,Normal,Sec,Voie Communale,40.0,Autre,1.0,1.0,
484,2022-01-14 10:24:47,Jour,Normal,Sec,Voie Communale,30.0,Autre,3.0,4.0,0.0
485,2022-01-15 01:45:54,Nuit,Normal,Sec,Voie Communale,40.0,Par le coté,2.0,2.0,
486,2022-01-20 17:18:16,Jour,Normal,Sec,Route Départementale,80.0,Par le coté,2.0,2.0,
487,2022-01-15 20:09:55,Nuit,Normal,Sec,Voie Communale,50.0,,2.0,2.0,
490,2022-01-05 06:33:47,Nuit,Normal,Sec,Autoroute,130.0,Frontale,2.0,2.0,
